timestamp,cpu_usage,memory_usage,disk_usage,cost_per_hour
2024-01-01 00:00:00,8.738855859647515,40.1216824680348,34.49112026150623,0.196
2024-01-01 01:00:00,0.0,20.299306664828993,31.409511326806374,0.141
2024-01-01 02:00:00,12.61410159654434,21.505467512466108,36.40715539245714,0.172
2024-01-01 03:00:00,19.272111643291325,35.61106918370285,39.253368264784136,0.206
2024-01-01 04:00:00,4.8561397038321985,29.871942065172398,32.10763330820283,0.171
2024-01-01 05:00:00,4.080275152706127,16.14896761000102,26.208035302569193,0.158
2024-01-01 06:00:00,10.855097462811543,31.00165702215283,36.41250616756132,0.182
2024-01-01 07:00:00,45.91508272244896,45.81268755675012,53.07178948537976,0.268
2024-01-01 08:00:00,44.6132283266674,52.94553006448164,63.43893963852766,0.291
2024-01-01 09:00:00,69.18711468418365,80.50836379443766,75.38895627066651,0.379
2024-01-01 10:00:00,70.02222060794541,78.43322314708055,69.01732433116753,0.374
2024-01-01 11:00:00,71.76632526326105,80.58501768125586,75.32603466012395,0.378
2024-01-01 12:00:00,67.69067082351867,82.72986886974469,65.26840970983517,0.368
2024-01-01 13:00:00,53.88171772796383,73.26277230183042,70.2252734010735,0.341
2024-01-01 14:00:00,71.275158154296,68.3188521197769,70.7304090138413,0.361
2024-01-01 15:00:00,56.52313953292458,76.27817804832559,69.68718118523633,0.342
2024-01-01 16:00:00,64.62886945188079,73.8193587981487,73.82379158766526,0.357
2024-01-01 17:00:00,69.93299776918943,73.41413348561845,75.69317784945922,0.354
2024-01-01 18:00:00,40.4783904060642,49.34469233159755,45.64453472465993,0.278
2024-01-01 19:00:00,40.837967749727,43.156893071590154,54.143921742997456,0.267
2024-01-01 20:00:00,40.00856881290386,60.9298537906716,40.66221641352525,0.295
2024-01-01 21:00:00,12.914548861122976,38.240261874174756,36.964302985273925,0.207
2024-01-01 22:00:00,13.407102083229013,23.148997465019562,28.29090159055545,0.182
2024-01-01 23:00:00,14.898758993243238,24.838607298389874,40.39279776910101,0.172
2024-01-02 00:00:00,10.858088406040775,23.925893232516742,30.775797023684767,0.184
2024-01-02 01:00:00,15.08637991510345,19.952048462187026,36.93188481123401,0.172
2024-01-02 02:00:00,18.02903274392379,29.983113464408305,29.441641059188797,0.207
2024-01-02 03:00:00,26.024000415449688,24.190580023121882,38.26515616677477,0.213
2024-01-02 04:00:00,13.791005267704474,27.751628335712674,30.729472229904395,0.191
2024-01-02 05:00:00,16.23468006094744,22.28945744760046,34.486124694611235,0.198
2024-01-02 06:00:00,8.726566795601226,22.39622971205234,31.16538478425798,0.182
2024-01-02 07:00:00,41.18241496490883,54.43911299272711,63.55645697274031,0.273
2024-01-02 08:00:00,37.5361518108129,59.1489313046147,61.02091931276217,0.268
2024-01-02 09:00:00,66.87111554517695,74.88760054817757,67.39170517903194,0.361
2024-01-02 10:00:00,35.852459265822944,74.39029294902635,69.89924957751185,0.319
2024-01-02 11:00:00,59.37541106909181,80.20231068414726,71.92291567463174,0.369
2024-01-02 12:00:00,76.20183057402974,71.71073520242774,64.65458889042259,0.393
2024-01-02 13:00:00,56.15570700501151,83.03150144119174,68.43273634294064,0.362
2024-01-02 14:00:00,61.2587521512238,79.48643713891659,72.63785970193616,0.381
2024-01-02 15:00:00,71.4612439634863,69.25171324414671,69.01684548649618,0.389
2024-01-02 16:00:00,76.36294558200234,74.28409838262913,64.29677387321132,0.372
2024-01-02 17:00:00,53.67491564374807,80.99137711699537,70.96083115691883,0.344
2024-01-02 18:00:00,31.12512957398761,57.23660351601795,44.79284633945739,0.272
2024-01-02 19:00:00,48.098540708317046,48.726348826969584,51.85200726869641,0.292
2024-01-02 20:00:00,45.78946222592767,53.10664205869715,50.19051159036939,0.286
2024-01-02 21:00:00,17.501509483372995,26.76567066784219,32.305903906498,0.197
2024-01-02 22:00:00,20.612963869234342,23.685757771588587,33.48056355064193,0.219
2024-01-02 23:00:00,17.484486549339366,24.632501614010486,32.46283527585936,0.193
2024-01-03 00:00:00,12.461033243037969,16.835662696408527,29.083911014367278,0.156
2024-01-03 01:00:00,10.451167796098092,22.3255706366351,40.784334933010626,0.168
2024-01-03 02:00:00,15.827428416467194,28.190729965752798,30.223077871277688,0.204
2024-01-03 03:00:00,19.64759992978895,25.89260504292142,33.889818082741186,0.199
2024-01-03 04:00:00,21.36713990495494,25.7071862886549,32.884546194630666,0.201
2024-01-03 05:00:00,14.770502222548137,25.134982824074086,29.442168449094666,0.188
2024-01-03 06:00:00,18.987057151199163,19.518421081913512,35.37837509778286,0.192
2024-01-03 07:00:00,52.9402953062808,41.11059371141221,61.28594235310972,0.284
2024-01-03 08:00:00,45.95018963514225,48.1923634956007,58.88929973444893,0.281
2024-01-03 09:00:00,75.09198331858616,60.7247964999566,73.82457746489405,0.362
2024-01-03 10:00:00,63.940785045374085,80.7388461209246,65.67263668844532,0.368
2024-01-03 11:00:00,53.17101358800312,75.11717912299459,69.43129898354867,0.338
2024-01-03 12:00:00,60.5244334971164,66.05726301934754,69.72849906462147,0.35
